C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\autoreload.py TIME: 2024-06-16 22:21:15,503 MSG: autoreload.py:run_with_reloader:668 Watching for file changes with StatReloader
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:21:20,913 MSG: log.py:log_response:241 Not Found: /m/default/media/images/askbot-logo.svg
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:21:20,916 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.335536fb9829.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:21:20,916 MSG: log.py:log_response:241 Not Found: /m/default/media/jslib/modernizr.custom.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:21:20,919 MSG: log.py:log_response:241 Not Found: /m/CACHE/css/output.59da6d38b4bc.css
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:21:21,002 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.bc96862a00bb.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:21:21,498 MSG: log.py:log_response:241 Not Found: /m/default/media/images/favicon.gif
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:36,934 MSG: log.py:log_response:241 Not Found: /m/default/media/jslib/modernizr.custom.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:36,934 MSG: log.py:log_response:241 Not Found: /m/CACHE/css/output.59da6d38b4bc.css
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:36,936 MSG: log.py:log_response:241 Not Found: /m/default/media/images/askbot-logo.svg
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:36,938 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.335536fb9829.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:37,055 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.fba46cb0453c.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:37,056 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.ec9fbfc47c4e.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:50,974 MSG: log.py:log_response:241 Not Found: /m/default/media/images/nophoto.png
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:50,975 MSG: log.py:log_response:241 Not Found: /m/default/media/jslib/modernizr.custom.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:50,977 MSG: log.py:log_response:241 Not Found: /m/CACHE/css/output.59da6d38b4bc.css
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:50,979 MSG: log.py:log_response:241 Not Found: /m/default/media/images/askbot-logo.svg
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:51,099 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.335536fb9829.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:51,101 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.98e767426c60.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:54,438 MSG: log.py:log_response:241 Not Found: /m/CACHE/css/output.59da6d38b4bc.css
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:54,439 MSG: log.py:log_response:241 Not Found: /m/default/media/jslib/modernizr.custom.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:54,440 MSG: log.py:log_response:241 Not Found: /m/default/media/images/askbot-logo.svg
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:54,443 MSG: log.py:log_response:241 Not Found: /m/default/media/images/nophoto.png
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:54,570 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.a4e500ce89af.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:54,573 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.99f8b44c33cb.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:30:54,573 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.335536fb9829.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:31:07,035 MSG: log.py:log_response:241 Not Found: /m/default/media/jslib/modernizr.custom.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:31:07,038 MSG: log.py:log_response:241 Not Found: /m/default/media/images/nophoto.png
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:31:07,039 MSG: log.py:log_response:241 Not Found: /m/CACHE/css/output.59da6d38b4bc.css
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:31:07,040 MSG: log.py:log_response:241 Not Found: /m/default/media/images/askbot-logo.svg
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:31:07,156 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.335536fb9829.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:31:07,157 MSG: log.py:log_response:241 Not Found: /m/CACHE/js/output.98e767426c60.js
C:\Users\Admin\Desktop\intento1\.venv\lib\site-packages\django\utils\log.py TIME: 2024-06-16 22:31:08,063 MSG: log.py:log_response:241 Not Found: /m/default/media/images/askbot-logo.svg
